ID,Primer nombre,Segundo nombre,Primer apellido,Segundo apellido,Edad,Estatura (cm),Peso (kg),RH,Profesión,N. hijos,Hobby,Deporte,Mes_nro,Sexo,Grupo,Beta,Uniforme,Gamma,Y1,Y2,Y3,Y4,Z
2025_04_0001,Benjamín,Elías,Figueroa,Luna,38,169.41,81.9,AB+,filosofía,1,escribir,Patinaje,12,Masculino,01,,2710.8153259543396,2006.5106139815214,13559.076629771698,103627.00873903622,95.32469099413316,1595100.7364700655,4355727.10858883
2025_04_0002,Fabián,Patricio,Correa,Mendoza,63,173.6,79.0,A-,psicología,2,yoga,Voleibol,8,Masculino,01,920.4476318469017,2267.7626248320635,2025.4787533022238,11343.813124160317,79183.31523600474,89.81303548085289,497966.0183453794,1852238.0768179637
2025_04_0003,Eduardo,Mateo,Molina,Ramírez,63,179.26,64.98,O+,periodismo,3,leer,Equitación,6,Masculino,01,,1021.7145834997691,2007.7963116587161,5113.5729174988455,90712.90357012351,41.12498583647203,-278426.8753643677,3052013.9949537017
2025_04_0004,,Víctor,Quintero,Vargas,64,168.4,76.25,B+,psicología,0,escribir,Patinaje,2,Masculino,01,1733.3716853277838,1546.7213714940651,2011.4079479737482,7738.606857470326,95019.67214576813,86.45079930393157,-710144.8295591015,3474480.9775130376
2025_04_0005,Rafael,Ramiro,Ardila,González,49,172.21,77.83,O+,economía,2,bailar,Automovilismo,6,Masculino,01,1140.6462994390893,1823.9359844910912,2009.9664543333693,9124.679922455456,83121.91961878286,244.1386572643031,1044031.4632485185,2290416.278800634
2025_04_0006,Elías,Pablo,Pérez,Toledo,38,165.92,77.78,A+,ingeniería civil,3,programación,Caza,1,Masculino,01,1554.0726670206166,2565.7921429940907,2026.0699853014753,12833.960714970453,91873.5528994566,95.22921345670768,596135.0752651732,3120978.2947562034
2025_04_0007,Mario,Yerson,García,,71,167.05,68.38,A-,economía,2,meditación,Halterofilia,11,Masculino,01,1603.9841760974352,1775.7009942973582,2018.605804590804,8883.504971486791,92647.85765967282,147.63164948762227,857769.7795109992,3216850.8571663573
2025_04_0008,Salvador,Alejandro,Galindo,Álvarez,37,168.6,65.79,A+,periodismo,1,tocar guitarra,Pentatlón,6,Masculino,01,2005.8429229407718,2549.4693996551046,2015.9718892263377,12752.346998275523,100606.01513560556,206.11409118082221,1106213.8396722304,4024437.1928798193
2025_04_0009,Ulises,Jesús,García,Ramos,71,161.25,63.39,A-,filosofía,3,astronomía,Snowboard,9,Masculino,01,1189.243682663505,2818.8145750953613,2015.9789247589756,14099.072875476806,84274.24139603938,53.20385776259455,-260860.6584671514,2392585.438202487
2025_04_0010,Wilmer,Julio,Herrera,Blanco,41,168.97,75.86,O+,biología,1,leer,Rally,4,Masculino,01,2248.0946118678085,1443.7395199076723,2019.8947065139482,7223.697599538362,105568.7334327746,462.3663608675335,1158808.87537373,4503411.921335155
2025_04_0011,Rafael,Fernando,Ortiz,Padilla,76,162.59,74.43,A+,psicología,1,cocinar,Lucha libre,9,Masculino,01,2307.77050006945,543.0705920089042,2010.938811017222,2720.352960044521,106493.57433190566,291.27946546666806,1564079.9390591648,4618260.353098945
2025_04_0012,Andrés,Jesús,Morales,Del Valle,30,173.29,75.85,O-,enfermería,2,jardinería,Kitesurf,12,Masculino,01,1519.0720532761825,1652.416871430925,2025.2353431271877,8267.084357154625,91148.50135933928,173.73344964512899,-1631422.0903883355,3046410.1909095193
2025_04_0013,Tomás,Joaquín,Castro,García,48,166.89,55.38,A-,diseño gráfico,2,ajedrez,Parapente,2,Masculino,01,1102.995338586533,1062.7599159604206,2018.8241069120647,5318.799579802103,82634.6299790926,152.9102911713185,-649918.5445913712,2211308.476752868
2025_04_0014,Octavio,Guillermo,Ramos,Bermúdez,37,171.36,72.44,O+,ingeniería civil,3,ajedrez,Automovilismo,2,Masculino,01,1772.6577624995389,1612.8847960143482,2018.9727856983354,8069.423980071741,96032.33882094084,64.9874590973428,375487.86488141655,3553383.9489791496
2025_04_0015,Eduardo,Ulises,Ramírez,Beltrán,48,160.48,79.05,A+,diseño gráfico,3,astronomía,Taekwondo,12,Masculino,01,1437.9034751764661,2789.955752685832,2016.526050750328,13954.77876342916,89263.85102603916,191.4618867123204,-500596.29894843313,2889760.7291163616
2025_04_0016,Julián,Gustavo,Pizarro,Ramírez,70,174.86,76.63,B-,ingeniería mecánica,2,surf,Esquí,2,Masculino,01,1675.6399678981584,1560.6861768841468,2017.0710696280596,7808.4308844207335,94034.93144680496,137.28574825023085,47612.26141707756,3359087.3666807376
2025_04_0017,,Yerson,Serrano,Serrano,53,183.7,79.02,A+,enfermería,0,pintar,Hockey,1,Masculino,01,1138.6896955063562,1300.5207358928778,2021.3327357860449,6507.60367946439,83423.77598370847,246.69328740404876,112154.48722768785,2283885.9946921766
2025_04_0018,Samuel,Facundo,Castro,Quintero,66,165.51,81.44,O-,ciencias de la computación,3,cocinar,Canotaje,8,Masculino,01,2218.3749843445694,2790.4405922066026,2011.3937143262392,13957.202961033014,104719.31111667857,127.98405827806543,916723.3431764183,4450706.171650172
2025_04_0019,Daniel,Héctor,Barrios,,40,167.23,77.93,A+,diseño gráfico,0,pintar,Kayak,10,Masculino,01,1805.5306440269092,,2038.295329215795,11190.32891186328,97269.47275701203,68.90059807415183,140443.5933232395,3622250.616965682
2025_04_0020,Ricardo,Samuel,Herrera,Esquivel,52,162.79,66.51,A+,arquitectura,2,leer,Caza,4,Masculino,01,1688.1647707548457,1552.3061199867336,2018.69004109262,7766.530599933668,94333.99664787552,34.901693107947864,-712845.5459634616,3384095.0721096247
2025_04_0021,Roberto,Gabriel,Tapia,Tovar,60,169.54,69.32,B+,psicología,2,pintar,Béisbol,7,Masculino,01,1297.1112639984967,2311.448907604263,2029.1503867377482,11562.244538021314,86826.73688210238,137.08689066318303,671474.2364631514,2605783.772535015
2025_04_0022,,Oscar,Zamora,Padilla,73,167.18,82.91,B-,diseño gráfico,2,jardinería,Motociclismo,11,Masculino,01,1674.0236640956655,1746.8489464685856,2008.6989953094892,8739.244732342928,93751.44314119799,95.47783004378803,-192546.52414391583,3356785.5729236742
2025_04_0023,,Lorenzo,Galarza,Ramírez,79,165.06,69.71,B+,educación,3,programación,Parapente,4,Masculino,01,1236.0586112571575,,2007.9485557279218,6248.900101380373,84969.62889698081,320.23910214488706,-523486.2635312808,2478365.1226156955
2025_04_0024,Jacinto,Luis,Luna,Valenzuela,73,165.52,70.62,O-,derecho,1,jardinería,Pilates,9,Masculino,01,1378.2944436704172,2915.911833143212,2004.9793892424964,14584.559165716058,87725.27055068323,28.506013789912082,168329.16837775116,2771172.4465065505
2025_04_0025,Diego,Facundo,Vásquez,Tovar,77,170.78,60.1,O+,historia,1,yoga,Snowboard,10,Masculino,01,1284.872212453704,2730.2896359397873,2012.6740434485791,13656.448179698937,86087.66555253146,103.29276469574664,12609.330140143691,2583399.8730871067
2025_04_0026,Bruno,David,Tapia,Maldonado,69,168.73,63.14,O-,sociología,1,coleccionar figuras,Hockey,2,Masculino,01,1275.797040306199,1924.3751503856531,2023.4610477599508,9626.875751928266,86229.77223892251,51.89945291915245,859861.9135755859,2561219.9563643266
2025_04_0027,,Orlando,Galarza,Quintero,57,165.28,73.8,A+,enfermería,2,senderismo,Parapente,2,Masculino,01,2173.190468181133,2046.2425826772285,2030.9641988719256,10236.212913386142,104402.73532978042,55.17913502880595,273992.1020672608,4356616.149275652
2025_04_0028,David,Javier,Navarro,Ortiz,39,185.45,57.69,A+,contaduría,1,leer,Golf,6,Masculino,01,1550.94576558662,1719.0052487584683,,8600.026243792341,91750.60978864458,148.25770453950298,-382988.9153261936,3110490.5574170323
2025_04_0029,David,Orlando,Rodríguez,Morales,33,173.55,72.59,AB+,derecho,3,programación,Caza,10,Masculino,01,1255.854979885621,2895.262077627254,2020.596944299304,14481.31038813627,85745.00792669154,67.48091869229013,659010.6482629672,2526190.270159378
2025_04_0030,Darío,Salvador,Navarro,Galarza,50,161.76,78.02,A-,ingeniería mecánica,4,programación,Snowboard,10,Masculino,01,803.1358835600067,1651.0092320248928,2017.7553807530257,8260.046160124464,76605.3790937909,82.44394039299445,-1457704.5279503763,1614530.813280138
2025_04_0031,Ángel,Octavio,Sosa,Obando,51,171.11,71.4,B-,sociología,1,ajedrez,Patinaje,1,Masculino,01,1576.5274967783553,1130.0881253317652,2023.6848005156305,5655.440626658827,92251.09395103602,132.38466434991804,471354.87377607735,3158709.4341833694
2025_04_0032,Camilo,Froilán,Ortiz,Mendoza,75,175.88,69.46,A-,biología,2,pintar,Tenis,10,Masculino,01,1438.41908424543,2465.8189382263154,2031.0610642370968,12334.094691131577,89710.2136120215,243.18369647881102,833527.852101161,2889171.263181992
2025_04_0033,Joaquín,Marcelo,Godoy,Quintero,73,171.24,66.83,A+,enfermería,2,yoga,Ultramaratón,1,Masculino,01,2186.4450785717663,1635.1054200674548,2011.8703000469886,8180.5271003372745,104095.01057284499,143.2346524163503,360519.0121922294,4381069.68424387
2025_04_0034,Eugenio,Leonardo,Quintero,Alonso,35,175.46,70.56,O+,relaciones internacionales,3,pintar,Escopeta olímpica,4,Masculino,01,1741.5849027847798,1020.9155213145025,2012.474905447676,5109.577606572512,95215.94521912588,123.86046006520024,-422048.80659929354,3488278.383176132
2025_04_0035,Patricio,Antonio,Molina,Flores,75,175.42,69.67,B+,psicología,3,jardinería,Rally,3,Masculino,01,1745.1136341181557,1441.3485218093253,2025.0077539346073,7211.742609046627,95662.50530040133,101.08608818173391,-305263.9870072618,3497438.0108453576
2025_04_0036,Hilario,Tomás,Galindo,Zamora,50,165.03,66.48,O-,derecho,2,yoga,Esquí,6,Masculino,01,1501.0428792123575,1555.2040321186987,2029.1757481298937,7781.0201605934935,90906.13002814396,55.695915447792814,630704.2958239949,3009865.7785853087
2025_04_0037,Agustín,Iker,Rosales,Bravo,37,167.15,75.88,O+,medicina,2,leer,Golf,12,Masculino,01,1610.1463920259341,2385.187793926345,2018.6406567135339,11930.938969631725,92772.1475419247,412.0137132352076,839935.486922635,3232222.7230215
2025_04_0038,,Gabriel,Rojas,Barrios,56,174.58,76.24,O+,economía,3,ajedrez,Críquet,5,Masculino,01,1917.336543307943,1830.78465811061,2031.033791824924,9158.92329055305,99287.74462090658,93.8222011992672,1695590.792150484,3843831.009906439
2025_04_0039,Ángel,Iker,Padilla,Romero,75,177.44,77.21,AB-,biología,3,escribir,Kitesurf,11,Masculino,01,893.712755802341,735.2118879122967,2008.0033592902441,3681.0594395614835,78124.35589475415,259.6574728908696,1271193.8558733189,1791105.5710442436
2025_04_0040,,Agustín,López,Vega,30,164.29,57.51,O+,economía,2,origami,Voleibol,6,Masculino,01,1953.3390539546288,1003.4090319194237,2005.6184551888546,5022.045159597118,99245.33473475822,118.231992336074,188474.0707866864,3911699.1530688545
2025_04_0041,Leandro,Abel,Trejo,Carrasco,32,165.73,70.66,A-,contaduría,0,fotografía,Halterofilia,12,Masculino,01,1460.545407833737,980.0976648452563,2020.163692822992,4905.488324226281,89825.8189413645,167.9381746479463,-304717.4625912623,2925995.3039917005
2025_04_0042,David,Eduardo,Bustamante,Galarza,48,178.15,72.2,O+,enfermería,1,yoga,Taekwondo,4,Masculino,01,1885.8290516537515,1074.2359628308416,2017.192104995517,5376.179814154208,98242.34418294055,401.74703402661646,328199.542722511,3777033.2831216576
2025_04_0043,Teo,Héctor,Guerrero,Peña,40,166.66,48.91,A+,administración de empresas,2,tocar guitarra,Senderismo,9,Masculino,01,1679.30685334115,1085.9258488493085,2027.6214348931724,5434.629244246543,94424.78011361818,144.1403077866252,175205.84958996432,3364047.3359265462
2025_04_0044,Josué,Samuel,Sosa,Jiménez,30,171.5,69.13,B+,química,2,bailar,Snorkel,2,Masculino,01,927.0222933266208,2577.765741531764,2019.5032131205444,12893.82870765882,79135.54226014875,73.91870318291562,1196879.018102329,1866937.4153609006
2025_04_0045,David,Josué,Zapata,González,58,163.76,83.4,O+,administración de empresas,2,leer,Waterpolo,5,Masculino,01,1527.0771244925556,2128.306355164152,2023.2908426564636,10646.53177582076,91250.26776954503,157.43913778502647,-77263.8771727801,3064799.780760932
2025_04_0046,Elías,Alonso,Galarza,Maldonado,35,173.83,78.82,AB+,ingeniería mecánica,2,dibujo,Enduro,2,Masculino,01,1087.5664401384092,2107.4164699086778,2019.5061046134335,10542.082349543389,82346.5119411712,93.32155319829252,801017.897852437,2185673.9626263618
2025_04_0047,Josué,Hilario,Navarro,Mendoza,79,175.69,75.58,O+,sociología,2,tocar guitarra,Natación,9,Masculino,01,1170.123985879475,1109.449269692476,2020.131462660317,5552.24634846238,84016.42359739901,80.86028813358772,26591.40770298164,2345799.2181074126
2025_04_0048,,Marcelo,Barrios,Vargas,39,164.04,54.04,O+,administración de empresas,2,leer,Pesca deportiva,8,Masculino,01,1870.422371666119,2437.928190884617,2009.1118971282192,12194.640954423085,97691.80434716895,80.83751172061113,545529.0891395317,3753038.384286661
2025_04_0049,Camilo,Camilo,Medina,Escobar,57,177.17,70.86,A+,medicina,2,surf,Baloncesto,9,Masculino,01,1373.8512171128637,1115.405314188324,,5582.02657094162,88079.13414040019,101.54180001398494,1284610.995311905,2753283.460796669
2025_04_0050,Salvador,Valentín,Rincón,Quintero,66,175.44,56.4,O-,derecho,3,jardinería,Tiro con arco,10,Masculino,01,1715.5877202699514,2942.4820885072604,2022.2012626074336,14717.410442536302,94987.79228362204,63.592744254607105,-296457.05025086284,3445891.8509824392
2025_04_0051,Iker,Marcelo,Carrasco,Tapia,67,165.17,74.2,O+,economía,0,meditación,Pelota vasca,2,Masculino,01,1986.6283144366537,2292.3536303229857,2022.0471963020295,11466.768151614928,100403.98217779397,169.26611313935243,705936.493326843,3984722.397024922
2025_04_0052,Bruno,Yahir,Vargas,Carrillo,67,174.99,79.05,AB+,relaciones internacionales,3,yoga,Ultramaratón,6,Masculino,01,1758.554380973414,1437.3955718362404,2026.6326930218993,7191.977859181202,95980.06841012526,89.54533523835539,-321149.3902803666,3524299.7398060095
2025_04_0053,Vicente,Benjamín,Sánchez,Álvarez,58,169.61,70.27,O+,ingeniería civil,3,tocar guitarra,Golf,9,Masculino,01,1296.6109327442541,1736.6730799192187,2045.2166526111052,8688.365399596094,87298.71823321824,53.211353882038836,90849.60326814106,2601909.2308881045
2025_04_0054,Adrián,Joaquín,Fuentes,Tapia,53,174.72,62.95,A-,biología,0,cine,Marcha atlética,11,Masculino,01,987.1875989484415,897.5068481483324,2003.375039056969,4492.534240741662,79855.00315067789,61.803428249972406,553286.9834329663,1978866.7321376249
2025_04_0055,Felipe,Mauricio,Castro,Ardila,68,163.25,61.52,B-,historia,3,fotografía,Slackline,9,Masculino,01,1887.9885494359673,,2004.9336562380095,6043.513248263993,97917.78067585963,272.0132074723169,811640.8271948679,3782019.6121201986
2025_04_0056,Mauricio,Joaquín,Ojeda,Torres,71,162.39,59.54,B-,relaciones internacionales,3,astronomía,Zumba,3,Masculino,01,,740.4026157107821,2014.2829347093207,3707.0130785539104,93281.19601742939,122.04668945162399,-232479.54523227614,3287976.8106935318
2025_04_0057,Patricio,Raúl,Gómez,Murillo,68,168.53,73.13,AB+,derecho,2,surf,Esgrima,12,Masculino,01,1317.486280081173,802.5939876741687,2034.5700302094385,4017.9699383708435,87396.82650790662,134.93934170669274,693569.3572965853,2638989.5301007167
2025_04_0058,Ezequiel,Mario,Carrillo,Rojas,37,172.51,80.79,A-,biología,1,programación,Waterpolo,12,Masculino,01,1875.4747537372984,2122.1995438015415,2013.0483002077697,10615.997719007708,97910.94408097905,124.79780998211689,84630.58104331014,3761564.5051936046
2025_04_0059,Ezequiel,Álvaro,Carrillo,Valencia,58,167.66,74.0,AB+,enfermería,3,yoga,Patinaje,1,Masculino,01,1362.1234770090682,962.2984863732656,2013.811582685291,4816.492431866328,87666.8170207401,194.83430176058434,1627762.6223472273,2729062.446450003
2025_04_0060,Froilán,Isaac,Martínez,Mejía,47,171.84,64.76,B+,ciencias de la computación,1,surf,Tiro con arco,5,Masculino,01,1555.6886492240212,2200.6709460798043,2021.853853512152,11008.354730399022,91779.38858984498,58.99179185943508,1256819.4158289204,3122384.6531784413
2025_04_0061,Ignacio,Facundo,Ramos,Salazar,32,158.69,62.22,O-,historia,2,fotografía,Rafting,11,Masculino,01,2034.4400259938468,2699.8445849607833,2044.855216127407,13504.222924803917,102044.45700369915,180.1901722744245,548497.1200071707,4082383.2749124975
2025_04_0062,,Hugo,Bravo,Serrano,57,167.58,79.22,B-,historia,5,pintar,BMX,11,Masculino,01,1134.5775437817097,,2007.994626158357,8435.715942454584,82941.38966038491,190.03298799936493,-617423.9767212358,2277589.803505874
2025_04_0063,Antonio,Patricio,Navarro,García,37,172.25,59.83,AB-,contaduría,0,fotografía,Slackline,2,Masculino,01,1444.0886057195696,1802.972560283133,2014.0449828949727,9019.862801415664,89313.12160124058,171.11674868751416,608535.5030062031,2897196.074240555
2025_04_0064,,Iker,Guerrero,Serrano,49,169.68,61.64,B+,biología,0,surf,BMX,5,Masculino,01,2089.783916317994,1654.2781203136867,2027.0344747391932,8276.390601568433,102616.71256853567,197.4152460693357,-258466.08922801714,4187843.223237557
2025_04_0065,Emilio,Mauricio,Calderón,Aguilar,78,172.81,64.79,AB-,historia,1,bailar,Surf,9,Masculino,01,,865.7114915779216,2033.2727942522838,4333.5574578896085,87641.9742212261,56.260623279180976,1111742.6121368185,2667711.5968236485
2025_04_0066,Mariano,Rubén,Maldonado,Mejía,38,164.51,65.12,B+,contaduría,2,tocar guitarra,Fútbol,5,Masculino,01,1160.9125705943063,1090.8271135590135,2034.4498938666804,5459.135567795067,84261.74822788654,188.76337773570953,429395.63261031697,2327283.2767564077
2025_04_0067,Sebastián,José,Barrios,Esquivel,73,167.89,71.78,O-,filosofía,6,leer,Kickboxing,7,Masculino,01,985.6104694947879,1202.676571673298,2005.676728602998,6018.38285836649,79892.5112479857,67.91446607662878,-183808.38286663988,1977238.3218479424
2025_04_0068,Adrián,Cristóbal,Castañeda,Salazar,59,172.3,69.88,A-,educación,0,escribir,Críquet,1,Masculino,01,1741.097348558886,,2007.2887739799007,4104.822555168705,95050.61019057475,294.92055778409133,244054.40566331017,3486298.519672941
2025_04_0069,Aníbal,Ignacio,Cortés,Mejía,62,170.65,69.86,A+,educación,1,leer,Softbol,12,Masculino,01,2017.9866454567739,856.8764359529583,,4289.3821797647915,100730.1572697248,283.2234621245987,361555.25577942363,4040261.6730933124
2025_04_0070,Lucas,Yerson,Castro,Esquivel,58,158.59,74.9,O+,ciencias de la computación,0,coleccionar figuras,Kitesurf,12,Masculino,01,1938.2789644463587,999.4732202079601,2011.9414204039656,5002.366101039801,99133.82190104615,167.28470587620353,294700.64357507875,3881559.294993757
2025_04_0071,Oscar,Hugo,Aguilar,Molina,55,171.27,68.26,A+,psicología,3,yoga,Atletismo,2,Masculino,01,1765.4369507661845,1314.2103990852856,,6576.051995426428,95566.28019619093,105.68114640425497,-315965.78458871815,3537448.9535277956
2025_04_0072,Mario,Andrés,Pizarro,Paredes,79,174.79,79.13,AB-,arquitectura,1,origami,Patinaje,10,Masculino,01,1967.6162560966688,1759.2746435806487,2012.823910292648,8801.373217903243,99747.04243071281,50.40734096243135,-90644.25376923842,3944032.8854112406
2025_04_0073,Emiliano,Baltasar,Salazar,Maldonado,69,169.43,83.67,B-,psicología,4,surf,Ajedrez,12,Masculino,01,,2135.922419416443,2012.5813030753893,10684.612097082216,91066.7857831011,49.6188250594989,32356.232930318365,3078618.2811810244
2025_04_0074,Franco,Lorenzo,Valencia,Solís,55,174.04,70.1,A+,medicina,1,surf,Automovilismo,7,Masculino,01,2163.8412497351055,,2014.9392301912937,13437.836977056853,103735.00190044093,68.29100898941293,-320645.49159274367,4341119.336447268
2025_04_0075,Yerson,Patricio,Cortés,Castro,46,178.37,69.95,A+,diseño gráfico,3,bailar,Rafting,5,Masculino,01,1276.411349748065,2757.741836755698,2027.8817214081919,13793.70918377849,86374.67863720705,136.98597727421952,1877679.2651160622,2566615.4086799086
2025_04_0076,Nicolás,Álvaro,Díaz,Quintero,40,178.67,61.69,A-,relaciones internacionales,3,leer,Paddle surf,6,Masculino,01,1444.5886053253269,607.142702061728,2030.6760005154802,3040.71351030864,89822.05212197095,95.89433912906382,-960151.0955744869,2892216.924160962
2025_04_0077,Bruno,None,Ojeda,Acosta,65,177.36,63.84,A+,arquitectura,1,fotografía,Automovilismo,10,Masculino,01,1645.5969805944499,2917.456374367034,2036.6990101870197,14592.28187183517,94022.9099174996,101.23498027860407,-129776.27723856524,3305785.243060735
2025_04_0078,Simón,Rubén,Murillo,Espinosa,72,176.53,68.38,A-,química,1,origami,Billar,5,Masculino,01,1171.059649981466,1503.1767244667917,2016.5380284739895,7520.883622333959,83927.333853849,208.03959362388494,509735.9108351389,2349639.183585266
2025_04_0079,Baltasar,Mateo,Beltrán,,46,174.64,68.91,O+,educación,0,jardinería,Atletismo,3,Masculino,01,1809.5756388653165,2671.4135536164827,,13362.067768082414,97211.73253181216,40.22086948779608,-67818.75019169436,3632512.3454987155
2025_04_0080,Tomás,Miguel,Barrios,Peralta,36,172.62,68.31,A-,contaduría,2,meditación,Skateboarding,7,Masculino,01,638.6384382416963,2670.6769553047443,2036.632715495945,13358.384776523722,73881.75022971228,134.84028811938697,1713706.1525304127,1290634.2612599165
2025_04_0081,,Darío,Olivares,Álvarez,43,165.89,78.34,B-,historia,2,surf,Caza,1,Masculino,01,1496.666097599344,1413.3586193710034,2019.6681453008157,7071.793096855017,90533.36631101134,51.80382811850909,387256.83554433216,3000402.988295543
2025_04_0082,,Diego,Rincón,Ladino,52,169.66,78.06,AB-,psicología,0,cine,Ping pong,12,Masculino,01,1718.0849333190258,2474.0852465944117,2033.942503160694,12375.426232972059,95389.97376120134,126.49752508491068,612768.9525634409,3448544.292871024
2025_04_0083,Nicolás,Ricardo,Carrillo,,73,172.74,58.97,A+,química,1,escribir,Dominó deportivo,11,Masculino,01,1705.2851666302608,1633.6664076342647,2008.4954030844528,8173.332038171324,94370.5654251388,27.72882533691049,-57795.7694350472,3418742.665298693
2025_04_0084,Iván,Josué,Camacho,Arango,32,162.53,60.93,O+,enfermería,3,meditación,Lucha libre,4,Masculino,01,872.509688066295,951.4409775813042,2018.2497757446283,4762.2048879065205,78007.68703366476,45.84092914767226,344316.001392217,1749780.5810204966
2025_04_0085,Wilmer,Yahir,Mejía,Bermúdez,39,167.35,73.91,A-,relaciones internacionales,2,bailar,Canotaje,3,Masculino,01,1447.660364075651,2549.842530994152,2022.7242045546493,12754.212654970761,89644.9334181525,115.65561637344865,-1388861.5875705876,2908073.9408062724
2025_04_0086,Andrés,Ulises,Maldonado,Torres,31,163.21,64.76,B-,educación,2,yoga,Bádminton,10,Masculino,01,1414.2604878391453,1071.0676743295726,,5360.338371647863,88699.28748563764,81.14081231473394,356856.4218393145,2833880.3140499387
2025_04_0087,Rafael,Baltasar,Rodríguez,Sánchez,38,170.21,87.73,AB+,administración de empresas,1,cocinar,Zumba,1,Masculino,01,1456.8038819399221,1190.8294795584907,2004.57961078998,5959.147397792453,89283.46596249784,255.14771377860066,487113.9909113946,2919565.911277637
2025_04_0088,Eugenio,Yahir,Bustamante,Calderón,69,176.0,60.33,A-,educación,3,cocinar,Halterofilia,2,Masculino,01,2309.950267461412,605.333703317414,,3031.66851658707,106756.91644131043,131.35207079492312,279689.5354583356,4622931.203439411
2025_04_0089,Hugo,Darío,Luna,Rosales,72,167.99,83.09,A+,biología,0,astronomía,Yoga,9,Masculino,01,2077.5821051442163,1434.814471345909,2007.5041928534627,7179.0723567295445,101786.7678884882,105.67576089329722,116887.17654522194,4162342.282645162
2025_04_0090,Nicolás,Mario,Carrillo,Castro,69,165.28,66.85,AB+,ingeniería civil,0,yoga,Slackline,10,Masculino,01,2675.3831401184634,2541.7723218761275,2012.1778986539784,12713.861609380638,113882.99976198861,82.25719387511751,1029871.5032418672,5363479.141846308
2025_04_0091,,Teo,Murillo,Ruiz,35,171.39,59.55,A-,diseño gráfico,0,cine,Esgrima,2,Masculino,01,2057.1636908047403,953.6115654168455,2021.019186975894,4773.057827084227,101783.84942537162,229.24614044969317,1212733.615106296,4119099.439436565
2025_04_0092,Bruno,Ramiro,Álvarez,Ramos,72,171.47,53.34,A+,sociología,2,leer,Remo,2,Masculino,01,1967.174546266109,2685.202051859211,2028.1021194042733,13431.010259296056,100196.55450745038,154.7179274350431,-1472436.6580702113,3947779.1027915142
2025_04_0093,Gaspar,Simón,Arellano,Rincón,54,170.27,61.89,B+,educación,2,surf,Golf,5,Masculino,01,1458.4919323060842,2529.3430597023535,2015.6423067271157,12651.715298511768,89649.10784793516,86.82167752387906,397455.8441511127,2929634.57991068
2025_04_0094,Rafael,Esteban,Ruiz,Carrasco,37,155.83,71.89,AB-,química,0,jardinería,Ultramaratón,5,Masculino,01,1197.7393275790382,2194.544755131751,2016.8343875301773,10977.723775658756,84469.81817748609,103.61592389978867,222379.42633842747,2406455.378933735
2025_04_0095,,Ulises,Campos,Arango,34,170.43,65.27,B-,historia,1,bailar,Parkour,12,Masculino,01,1627.9334199905209,2239.3317559231964,2033.2945746277926,11201.658779615982,93567.5056386442,64.0960815836444,370453.20109157177,3267067.498760658
2025_04_0096,Joaquín,Gustavo,Celis,Parra,49,177.54,68.53,AB-,periodismo,1,leer,Parkour,11,Masculino,01,1423.7037772901099,1810.7458512562525,2009.9755521182085,9058.729256281262,88783.34210934845,89.44857352316696,-414680.98678649636,2856465.2838365007
2025_04_0097,Yerson,Teo,Beltrán,Jiménez,66,167.68,61.12,AB-,historia,0,surf,Equitación,11,Masculino,01,1143.4035579610752,2035.3473879443943,2021.891406993543,10181.736939721972,83534.81336902779,187.23593132863712,762113.2959290596,2296987.852861872
2025_04_0098,Leonardo,Ángel,Montoya,Arango,41,166.65,75.1,AB+,sociología,3,leer,Baloncesto,5,Masculino,01,,1193.312413778181,2016.4490105590717,5971.562068890906,79457.99121838005,49.123083730130254,253147.7021715601,1901422.6522296804
2025_04_0099,Cristóbal,Valentín,Godoy,Padilla,52,164.73,80.16,A+,ingeniería civil,1,origami,Críquet,12,Masculino,01,1483.1788175644065,1011.2689959256211,2016.3217076551157,5061.344979628106,90163.2275809416,105.21615819765634,1136892.2932660498,2971417.980108441
